"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"02/01/2025 16:45:00 - 02/01/2025 17:00:00","BZN|PL","Without Sequence","151.99","",""
"02/01/2025 17:00:00 - 02/01/2025 17:15:00","BZN|PL","Without Sequence","152.60","",""
"02/01/2025 17:15:00 - 02/01/2025 17:30:00","BZN|PL","Without Sequence","152.60","",""
"02/01/2025 17:30:00 - 02/01/2025 17:45:00","BZN|PL","Without Sequence","152.60","",""
"02/01/2025 17:45:00 - 02/01/2025 18:00:00","BZN|PL","Without Sequence","152.60","",""
"02/01/2025 18:00:00 - 02/01/2025 18:15:00","BZN|PL","Without Sequence","139.06","",""
"02/01/2025 18:15:00 - 02/01/2025 18:30:00","BZN|PL","Without Sequence","139.06","",""
"02/01/2025 18:30:00 - 02/01/2025 18:45:00","BZN|PL","Without Sequence","139.06","",""
"02/01/2025 18:45:00 - 02/01/2025 19:00:00","BZN|PL","Without Sequence","139.06","",""
"02/01/2025 19:00:00 - 02/01/2025 19:15:00","BZN|PL","Without Sequence","128.74","",""
"02/01/2025 19:15:00 - 02/01/2025 19:30:00","BZN|PL","Without Sequence","128.74","",""
"02/01/2025 19:30:00 - 02/01/2025 19:45:00","BZN|PL","Without Sequence","128.74","",""
"02/01/2025 19:45:00 - 02/01/2025 20:00:00","BZN|PL","Without Sequence","128.74","",""
"02/01/2025 20:00:00 - 02/01/2025 20:15:00","BZN|PL","Without Sequence","100.91","",""
"02/01/2025 20:15:00 - 02/01/2025 20:30:00","BZN|PL","Without Sequence","100.91","",""
"02/01/2025 20:30:00 - 02/01/2025 20:45:00","BZN|PL","Without Sequence","100.91","",""
"02/01/2025 20:45:00 - 02/01/2025 21:00:00","BZN|PL","Without Sequence","100.91","",""
"02/01/2025 21:00:00 - 02/01/2025 21:15:00","BZN|PL","Without Sequence","101.27","",""
"02/01/2025 21:15:00 - 02/01/2025 21:30:00","BZN|PL","Without Sequence","101.27","",""
"02/01/2025 21:30:00 - 02/01/2025 21:45:00","BZN|PL","Without Sequence","101.27","",""
"02/01/2025 21:45:00 - 02/01/2025 22:00:00","BZN|PL","Without Sequence","101.27","",""
"02/01/2025 22:00:00 - 02/01/2025 22:15:00","BZN|PL","Without Sequence","74.79","",""
"02/01/2025 22:15:00 - 02/01/2025 22:30:00","BZN|PL","Without Sequence","74.79","",""
"02/01/2025 22:30:00 - 02/01/2025 22:45:00","BZN|PL","Without Sequence","74.79","",""
"02/01/2025 22:45:00 - 02/01/2025 23:00:00","BZN|PL","Without Sequence","74.79","",""
"02/01/2025 23:00:00 - 02/01/2025 23:15:00","BZN|PL","Without Sequence","89.13","",""
"02/01/2025 23:15:00 - 02/01/2025 23:30:00","BZN|PL","Without Sequence","89.13","",""
"02/01/2025 23:30:00 - 02/01/2025 23:45:00","BZN|PL","Without Sequence","89.13","",""
"02/01/2025 23:45:00 - 03/01/2025 00:00:00","BZN|PL","Without Sequence","89.13","",""
"03/01/2025 00:00:00 - 03/01/2025 00:15:00","BZN|PL","Without Sequence","68.97","",""
"03/01/2025 00:15:00 - 03/01/2025 00:30:00","BZN|PL","Without Sequence","68.97","",""
"03/01/2025 00:30:00 - 03/01/2025 00:45:00","BZN|PL","Without Sequence","68.97","",""
"03/01/2025 00:45:00 - 03/01/2025 01:00:00","BZN|PL","Without Sequence","68.97","",""
"03/01/2025 01:00:00 - 03/01/2025 01:15:00","BZN|PL","Without Sequence","73.07","",""
"03/01/2025 01:15:00 - 03/01/2025 01:30:00","BZN|PL","Without Sequence","73.07","",""
"03/01/2025 01:30:00 - 03/01/2025 01:45:00","BZN|PL","Without Sequence","73.07","",""
"03/01/2025 01:45:00 - 03/01/2025 02:00:00","BZN|PL","Without Sequence","73.07","",""
"03/01/2025 02:00:00 - 03/01/2025 02:15:00","BZN|PL","Without Sequence","74.27","",""
"03/01/2025 02:15:00 - 03/01/2025 02:30:00","BZN|PL","Without Sequence","74.27","",""
"03/01/2025 02:30:00 - 03/01/2025 02:45:00","BZN|PL","Without Sequence","74.27","",""
"03/01/2025 02:45:00 - 03/01/2025 03:00:00","BZN|PL","Without Sequence","74.27","",""
"03/01/2025 03:00:00 - 03/01/2025 03:15:00","BZN|PL","Without Sequence","53.28","",""
"03/01/2025 03:15:00 - 03/01/2025 03:30:00","BZN|PL","Without Sequence","53.28","",""
"03/01/2025 03:30:00 - 03/01/2025 03:45:00","BZN|PL","Without Sequence","53.28","",""
"03/01/2025 03:45:00 - 03/01/2025 04:00:00","BZN|PL","Without Sequence","53.28","",""
"03/01/2025 04:00:00 - 03/01/2025 04:15:00","BZN|PL","Without Sequence","68.00","",""
"03/01/2025 04:15:00 - 03/01/2025 04:30:00","BZN|PL","Without Sequence","68.00","",""
"03/01/2025 04:30:00 - 03/01/2025 04:45:00","BZN|PL","Without Sequence","68.00","",""
"03/01/2025 04:45:00 - 03/01/2025 05:00:00","BZN|PL","Without Sequence","68.00","",""
"03/01/2025 05:00:00 - 03/01/2025 05:15:00","BZN|PL","Without Sequence","97.53","",""
"03/01/2025 05:15:00 - 03/01/2025 05:30:00","BZN|PL","Without Sequence","97.53","",""
"03/01/2025 05:30:00 - 03/01/2025 05:45:00","BZN|PL","Without Sequence","97.53","",""
"03/01/2025 05:45:00 - 03/01/2025 06:00:00","BZN|PL","Without Sequence","97.53","",""
"03/01/2025 06:00:00 - 03/01/2025 06:15:00","BZN|PL","Without Sequence","90.80","",""
"03/01/2025 06:15:00 - 03/01/2025 06:30:00","BZN|PL","Without Sequence","90.80","",""
"03/01/2025 06:30:00 - 03/01/2025 06:45:00","BZN|PL","Without Sequence","90.80","",""
"03/01/2025 06:45:00 - 03/01/2025 07:00:00","BZN|PL","Without Sequence","90.80","",""
"03/01/2025 07:00:00 - 03/01/2025 07:15:00","BZN|PL","Without Sequence","99.90","",""
"03/01/2025 07:15:00 - 03/01/2025 07:30:00","BZN|PL","Without Sequence","99.90","",""
